region,year,temp_anomaly,temp_lower,temp_upper
Northern Hemisphere,1954,0.3561638,0.3036252,0.4087024
Southern Hemisphere,1954,0.13669334,-0.016193207,0.2895799
World,1954,0.24642856,0.15708376,0.33577338
Northern Hemisphere,1955,0.2611475,0.20314379,0.31915122
Southern Hemisphere,1955,0.06940738,-0.08114948,0.21996424
World,1955,0.16527745,0.075161316,0.25539356
Northern Hemisphere,1956,0.107248984,0.05444159,0.16005637
Southern Hemisphere,1956,0.09073434,-0.029807862,0.21127655
World,1956,0.09899167,0.02246348,0.17551985
Northern Hemisphere,1957,0.35430348,0.3064137,0.40219322
Southern Hemisphere,1957,0.30378273,0.20078667,0.4067788
World,1957,0.3290431,0.26195952,0.39612666
Northern Hemisphere,1958,0.47330314,0.4254836,0.5211227
Southern Hemisphere,1958,0.22166654,0.12123863,0.32209447
World,1958,0.34748483,0.28323945,0.41173023
Northern Hemisphere,1959,0.43771437,0.3909252,0.48450354
Southern Hemisphere,1959,0.19715157,0.0913124,0.30299073
World,1959,0.31743297,0.2519051,0.38296083
Northern Hemisphere,1960,0.3923116,0.35397288,0.4306503
Southern Hemisphere,1960,0.10886698,0.018407289,0.19932668
World,1960,0.25058928,0.19510251,0.30607608
Northern Hemisphere,1961,0.38800123,0.3509081,0.42509437
Southern Hemisphere,1961,0.31111664,0.22838433,0.39384893
World,1961,0.34955892,0.2991865,0.39993134
Northern Hemisphere,1962,0.4422632,0.40490067,0.47962567
Southern Hemisphere,1962,0.16798447,0.079762675,0.25620627
World,1962,0.3051238,0.25138882,0.35885882
Northern Hemisphere,1963,0.4658189,0.42604905,0.50558877
Southern Hemisphere,1963,0.19929512,0.11150039,0.28708988
World,1963,0.33255702,0.27989537,0.38521865
Northern Hemisphere,1964,0.1334417,0.09321474,0.17366865
Southern Hemisphere,1964,-0.009760287,-0.08188989,0.06236932
World,1964,0.06184069,0.014659712,0.1090217
Northern Hemisphere,1965,0.19689219,0.1563444,0.23743996
Southern Hemisphere,1965,0.12643115,0.043870334,0.20899196
World,1965,0.16166167,0.10973374,0.2135896
Northern Hemisphere,1966,0.3045283,0.26388744,0.3451692
Southern Hemisphere,1966,0.13266405,0.055893574,0.20943452
World,1966,0.21859619,0.16899647,0.2681959
Northern Hemisphere,1967,0.3519342,0.31603134,0.38783705
